Model,Time Taken
STT,0.7081884510043892
STT,0.5661539460052154
STT,0.5702139220011304
STT,0.5526070249979966
STT,0.5385911890043644
STT,0.5426938730015536
STT,0.7455886169991572
STT,0.5488173290068517
STT,0.5719448010058841
STT,0.5358027379988926
STT,0.544784988000174
STT,0.5352092809989699
STT,0.5444513179973001
STT,0.5427199299956555
STT,0.5397964520016103
STT,0.5518693520061788
STT,0.5191002240026137
STT,0.5493958389997715
STT,0.5569535239992547
STT,0.5431350879953243
STT,0.5602447159981239
STT,0.5349980289975065
